,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2025-11-11 09:30:00,189.0,103.47000000000003,Normal,27.12,22.53,75.99,0.0,0.0,225.6,12.09,24.48,994.45,100.0
1,2025-11-11 10:00:00,189.0,120.0,Normal,27.2,22.35,74.85,0.1,0.0,228.95,14.8,29.52,994.4,100.0
2,2025-11-11 10:30:00,189.0,120.0,Normal,27.12,22.5,75.88,0.1,0.0,228.95,14.8,29.52,994.1,100.0
3,2025-11-11 11:00:00,189.0,120.0,Normal,27.05,22.65,76.9,0.2,0.0,218.8,11.78,30.24,993.8,100.0
4,2025-11-11 11:30:00,189.0,124.91,Normal,27.35,23.0,77.18,0.2,0.0,218.8,11.78,30.24,993.38,100.0
5,2025-11-11 12:00:00,189.0,132.82,Normal,27.65,23.35,77.46,0.4,0.0,241.11,11.92,30.6,992.95,100.0
6,2025-11-11 12:30:00,189.0,118.05,Normal,27.02,23.5,81.17,0.4,0.0,241.11,11.92,30.6,992.52,100.0
7,2025-11-11 13:00:00,189.0,118.05,Normal,26.4,23.65,84.88,0.1,0.0,263.21,15.23,40.68,992.1,100.0
8,2025-11-11 13:30:00,189.0,118.05,Normal,26.25,23.68,85.77,0.1,0.0,263.21,15.23,40.68,991.79,100.0
9,2025-11-11 14:00:00,189.0,118.05,Normal,26.1,23.7,86.66,1.3,0.0,230.86,9.98,27.36,991.49,100.0
10,2025-11-11 14:30:00,189.0,118.05,Normal,26.22,23.82,86.67,1.3,0.0,230.86,9.98,27.36,991.4,100.0
11,2025-11-11 15:00:00,189.0,118.05,Normal,26.35,23.95,86.68,0.8,0.0,241.86,8.78,25.2,991.31,100.0
12,2025-11-11 15:30:00,189.0,118.05,Normal,26.22,23.92,87.19,0.8,0.0,241.86,8.78,25.2,991.4,100.0
13,2025-11-11 16:00:00,189.0,118.05,Normal,26.1,23.9,87.71,0.5,0.0,273.43,9.02,23.4,991.49,100.0
14,2025-11-11 16:30:00,189.0,118.05,Normal,25.85,23.78,88.35,0.5,0.0,273.43,9.02,23.4,991.82,100.0
15,2025-11-11 17:00:00,189.0,103.47000000000003,Normal,25.6,23.65,88.99,0.5,0.0,299.17,8.86,17.64,992.15,100.0
16,2025-11-11 17:30:00,189.0,120.0,Normal,25.0,23.6,92.01,0.5,0.0,299.17,8.86,17.64,992.51,100.0
17,2025-11-11 18:00:00,189.0,120.0,Normal,24.4,23.55,95.02,1.7,0.0,305.75,5.55,19.08,992.87,100.0
18,2025-11-11 18:30:00,189.0,123.61,Normal,24.55,23.6,94.46,1.7,0.0,305.75,5.55,19.08,992.83,100.0
19,2025-11-11 19:00:00,189.0,129.93,Normal,24.7,23.65,93.9,0.9,0.0,90.0,0.36,20.52,992.78,100.0
20,2025-11-11 19:30:00,189.0,132.0,Normal,24.53,23.58,94.46,0.9,0.0,90.0,0.36,20.52,993.17,100.0
21,2025-11-11 20:00:00,189.0,132.0,Normal,24.35,23.5,95.02,0.2,0.0,267.27,3.78,10.8,993.55,100.0
22,2025-11-11 20:30:00,189.0,132.0,Normal,24.32,23.68,96.18,0.2,0.0,267.27,3.78,10.8,993.7,100.0
23,2025-11-11 21:00:00,189.0,132.0,Normal,24.3,23.85,97.33,0.7,0.0,257.74,4.24,13.32,993.84,100.0
24,2025-11-11 21:30:00,189.0,132.0,Normal,24.15,23.72,97.48,0.7,0.0,257.74,4.24,13.32,994.08,100.0
25,2025-11-11 22:00:00,189.0,132.0,Normal,24.0,23.6,97.62,0.1,0.0,316.17,6.24,9.72,994.32,100.0
26,2025-11-11 22:30:00,189.0,132.0,Normal,23.82,23.3,96.89,0.1,0.0,316.17,6.24,9.72,994.06,100.0
27,2025-11-11 23:00:00,189.0,132.0,Normal,23.65,23.0,96.15,0.0,0.0,278.13,6.36,11.88,993.81,100.0
28,2025-11-11 23:30:00,189.0,132.0,Normal,23.55,22.82,95.71,0.0,0.0,278.13,6.36,11.88,993.6,100.0
29,2025-11-12 00:00:00,189.0,132.0,Normal,23.45,22.65,95.28,0.0,0.0,282.68,7.38,12.24,993.4,100.0
30,2025-11-12 00:30:00,189.0,132.0,Normal,23.53,22.72,95.28,0.0,0.0,282.68,7.38,12.24,993.36,100.0
31,2025-11-12 01:00:00,189.0,132.0,Normal,23.6,22.8,95.28,0.0,0.0,272.54,8.11,14.4,993.31,100.0
32,2025-11-12 01:30:00,189.0,132.0,Normal,23.58,22.92,96.15,0.0,0.0,272.54,8.11,14.4,992.92,100.0
33,2025-11-12 02:00:00,189.0,132.0,Normal,23.55,23.05,97.03,0.8,0.0,243.44,7.65,15.12,992.52,100.0
34,2025-11-12 02:30:00,189.0,132.0,Normal,23.55,23.0,96.73,0.8,0.0,243.44,7.65,15.12,992.52,100.0
35,2025-11-12 03:00:00,189.0,132.0,Normal,23.55,22.95,96.44,0.7,0.0,257.12,6.46,13.32,992.52,100.0
36,2025-11-12 03:30:00,189.0,132.0,Normal,23.47,22.88,96.44,0.7,0.0,257.12,6.46,13.32,992.76,100.0
37,2025-11-12 04:00:00,189.0,132.0,Normal,23.4,22.8,96.44,0.4,0.0,266.01,7.76,12.96,993.0,100.0
38,2025-11-12 04:30:00,189.0,132.0,Normal,23.2,22.65,96.73,0.4,0.0,266.01,7.76,12.96,993.14,100.0
39,2025-11-12 05:00:00,189.0,132.0,Normal,23.0,22.5,97.01,0.5,0.0,265.76,4.87,14.4,993.28,100.0
40,2025-11-12 05:30:00,189.0,132.0,Normal,23.0,22.5,97.01,0.5,0.0,265.76,4.87,14.4,993.52,100.0
41,2025-11-12 06:00:00,189.0,132.0,Normal,23.0,22.5,97.01,0.2,0.0,285.52,6.73,11.88,993.77,100.0
42,2025-11-12 06:30:00,189.0,132.0,Normal,23.75,23.08,96.02,0.2,0.0,285.52,6.73,11.88,993.71,100.0
43,2025-11-12 07:00:00,189.0,132.0,Normal,24.5,23.65,95.02,0.2,0.0,267.8,4.68,13.32,993.66,100.0
44,2025-11-12 07:30:00,189.0,132.0,Normal,25.02,23.78,92.82,0.2,0.0,267.8,4.68,13.32,994.13,100.0
45,2025-11-12 08:00:00,189.0,132.0,Normal,25.55,23.9,90.61,0.9,0.0,252.07,6.43,14.4,994.6,100.0
46,2025-11-12 08:30:00,189.0,132.0,Normal,25.95,23.52,86.61,0.9,0.0,252.07,6.43,14.4,994.67,100.0
47,2025-11-12 09:00:00,189.0,132.0,Normal,26.35,23.15,82.6,0.2,0.0,253.69,7.69,16.2,994.75,100.0
48,2025-11-12 09:30:00,189.0,134.64,Normal,27.2,23.15,78.68,0.2,0.0,253.69,7.69,16.2,994.7,100.0
49,2025-11-12 10:00:00,189.0,142.0,Normal,28.05,23.15,74.76,0.1,0.0,231.15,8.32,19.44,994.65,100.0
50,2025-11-12 10:30:00,189.0,142.0,Normal,28.12,23.08,74.1,0.1,0.0,231.15,8.32,19.44,994.31,100.0
51,2025-11-12 11:00:00,189.0,142.0,Normal,28.2,23.0,73.44,0.6,0.0,208.71,8.62,22.68,993.97,100.0
52,2025-11-12 11:30:00,189.0,143.98,Normal,27.72,23.02,75.66,0.6,0.0,208.71,8.62,22.68,993.64,100.0
53,2025-11-12 12:00:00,189.0,146.0,Normal,27.25,23.05,77.87,0.7,0.0,249.9,7.86,21.6,993.32,100.0
54,2025-11-12 12:30:00,189.0,146.0,Normal,27.42,23.45,78.96,0.7,0.0,249.9,7.86,21.6,992.89,100.0
55,2025-11-12 13:00:00,189.0,146.0,Normal,27.6,23.85,80.06,1.5,0.0,272.08,9.91,19.8,992.46,77.0
56,2025-11-12 13:30:00,189.0,146.0,Normal,28.08,23.75,77.45,1.5,0.0,272.08,9.91,19.8,992.24,77.0
57,2025-11-12 14:00:00,189.0,146.0,Normal,28.55,23.65,74.84,1.2,0.0,282.26,12.71,28.08,992.02,72.0
58,2025-11-12 14:30:00,189.0,146.0,Normal,27.88,23.62,77.79,1.2,0.0,282.26,12.71,28.08,991.93,72.0
59,2025-11-12 15:00:00,189.0,141.75,Normal,27.2,23.6,80.73,1.3,0.0,257.97,11.23,29.52,991.85,91.0
60,2025-11-12 15:30:00,189.0,128.0,Normal,27.12,23.5,80.6,1.3,0.0,257.97,11.23,29.52,991.74,91.0
61,2025-11-12 16:00:00,189.0,126.04,Normal,27.05,23.4,80.47,0.4,0.0,254.54,8.78,23.76,991.64,100.0
62,2025-11-12 16:30:00,189.0,114.04,Normal,26.95,23.5,81.44,0.4,0.0,254.54,8.78,23.76,991.68,100.0
63,2025-11-12 17:00:00,189.0,103.47000000000003,Normal,26.85,23.6,82.41,0.1,0.0,252.72,8.48,18.0,991.73,72.0
64,2025-11-12 17:30:00,189.0,103.47000000000003,Normal,26.32,23.32,83.61,0.1,0.0,252.72,8.48,18.0,991.99,72.0
65,2025-11-12 18:00:00,189.0,103.47000000000003,Normal,25.8,23.05,84.82,0.0,0.0,234.46,6.19,15.84,992.26,100.0
66,2025-11-12 18:30:00,189.0,103.47000000000003,Normal,25.55,23.02,85.96,0.0,0.0,234.46,6.19,15.84,992.93,100.0
67,2025-11-12 19:00:00,189.0,103.47000000000003,Normal,25.3,23.0,87.11,0.0,0.0,204.9,5.56,13.68,993.61,100.0
68,2025-11-12 19:30:00,189.0,103.47000000000003,Normal,25.15,22.45,85.03,0.0,0.0,204.9,5.56,13.68,993.84,100.0
69,2025-11-12 20:00:00,189.0,103.47000000000003,Normal,25.0,21.9,82.95,0.0,0.0,191.31,9.18,15.84,994.08,100.0
70,2025-11-12 20:30:00,189.0,103.47000000000003,Normal,24.9,21.75,82.68,0.0,0.0,191.31,9.18,15.84,994.22,100.0
71,2025-11-12 21:00:00,189.0,103.47000000000003,Normal,24.8,21.6,82.42,0.0,0.0,220.24,6.13,15.84,994.36,100.0
72,2025-11-12 21:30:00,189.0,103.47000000000003,Normal,24.7,21.72,83.55,0.0,0.0,220.24,6.13,15.84,994.41,100.0
73,2025-11-12 22:00:00,189.0,103.47000000000003,Normal,24.6,21.85,84.69,0.0,0.0,241.7,5.32,10.8,994.45,100.0
74,2025-11-12 22:30:00,189.0,103.47000000000003,Normal,24.58,21.82,84.69,0.0,0.0,241.7,5.32,10.8,994.1,100.0
75,2025-11-12 23:00:00,189.0,103.47000000000003,Normal,24.55,21.8,84.69,0.0,0.0,252.9,4.9,9.0,993.76,100.0
76,2025-11-12 23:30:00,189.0,103.47000000000003,Normal,24.32,21.7,85.31,0.0,0.0,252.9,4.9,9.0,993.45,100.0
77,2025-11-13 00:00:00,189.0,103.47000000000003,Normal,24.1,21.6,85.94,0.0,0.0,234.25,5.55,9.72,993.14,100.0
78,2025-11-13 00:30:00,189.0,103.47000000000003,Normal,24.1,21.78,86.87,0.0,0.0,234.25,5.55,9.72,992.75,100.0
79,2025-11-13 01:00:00,189.0,103.47000000000003,Normal,24.1,21.95,87.8,0.0,0.0,209.74,4.35,9.72,992.36,100.0
80,2025-11-13 01:30:00,189.0,103.47000000000003,Normal,24.0,21.92,88.2,0.0,0.0,209.74,4.35,9.72,992.25,100.0
81,2025-11-13 02:00:00,189.0,103.47000000000003,Normal,23.9,21.9,88.59,0.1,0.0,234.46,4.65,9.0,992.15,100.0
82,2025-11-13 02:30:00,189.0,103.47000000000003,Normal,23.75,22.02,90.09,0.1,0.0,234.46,4.65,9.0,992.19,100.0
83,2025-11-13 03:00:00,189.0,103.47000000000003,Normal,23.6,22.15,91.59,0.1,0.0,258.69,6.42,10.8,992.23,100.0
84,2025-11-13 03:30:00,189.0,103.47000000000003,Normal,23.65,22.12,91.18,0.1,0.0,258.69,6.42,10.8,992.13,100.0
