,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2025-11-17 19:30:00,194.0,0.0,Normal,26.92,24.2,85.06,0.0,0.0,182.6,3.96,18.36,1006.3,100.0
1,2025-11-17 20:00:00,194.0,69.97,Normal,26.95,24.35,85.7,0.0,0.0,264.81,1.99,7.56,1006.5,100.0
2,2025-11-17 20:30:00,194.0,37.0,Normal,26.75,24.2,85.94,0.0,0.0,264.81,1.99,7.56,1006.9,100.0
3,2025-11-17 21:00:00,194.0,37.0,Normal,26.55,24.05,86.18,0.0,0.0,237.09,3.64,7.2,1007.3,100.0
4,2025-11-17 21:30:00,194.0,37.0,Normal,26.35,23.97,86.81,0.0,0.0,237.09,3.64,7.2,1007.39,100.0
5,2025-11-17 22:00:00,194.0,37.0,Normal,26.15,23.9,87.45,0.0,0.0,221.42,4.08,7.56,1007.49,100.0
6,2025-11-17 22:30:00,194.0,37.0,Normal,25.9,23.62,87.29,0.0,0.0,221.42,4.08,7.56,1007.19,100.0
7,2025-11-17 23:00:00,194.0,37.0,Normal,25.65,23.35,87.14,0.0,0.0,222.71,6.37,12.24,1006.89,100.0
8,2025-11-17 23:30:00,194.0,37.78,Normal,25.55,23.0,85.83,0.0,0.0,222.71,6.37,12.24,1006.59,100.0
9,2025-11-18 00:00:00,194.0,37.0,Normal,25.45,22.65,84.52,0.0,0.0,239.3,6.7,13.32,1006.29,100.0
10,2025-11-18 00:30:00,194.0,36.34,Normal,25.7,22.72,83.66,0.0,0.0,239.3,6.7,13.32,1005.74,100.0
11,2025-11-18 01:00:00,194.0,35.34,Normal,25.95,22.8,82.8,0.0,0.0,254.74,6.16,13.32,1005.2,100.0
12,2025-11-18 01:30:00,194.0,34.0,Normal,25.95,22.92,83.44,0.0,0.0,254.74,6.16,13.32,1004.95,100.0
13,2025-11-18 02:00:00,194.0,32.67,Normal,25.95,23.05,84.07,0.0,0.0,263.83,6.7,13.32,1004.7,100.0
14,2025-11-18 02:30:00,194.0,32.0,Normal,25.85,23.12,84.96,0.0,0.0,263.83,6.7,13.32,1004.55,100.0
15,2025-11-18 03:00:00,194.0,31.0,Normal,25.75,23.2,85.84,0.0,0.0,268.21,5.76,15.12,1004.4,100.0
16,2025-11-18 03:30:00,194.0,30.34,Normal,25.62,23.22,86.62,0.0,0.0,268.21,5.76,15.12,1004.79,100.0
17,2025-11-18 04:00:00,194.0,30.0,Normal,25.5,23.25,87.39,0.0,0.0,280.62,5.86,11.88,1005.19,100.0
18,2025-11-18 04:30:00,194.0,29.67,Normal,25.48,23.18,87.13,0.0,0.0,280.62,5.86,11.88,1005.24,100.0
19,2025-11-18 05:00:00,194.0,29.0,Normal,25.45,23.1,86.86,0.0,0.0,274.29,7.22,14.76,1005.29,100.0
20,2025-11-18 05:30:00,194.0,29.0,Normal,25.45,23.1,86.86,0.0,0.0,274.29,7.22,14.76,1005.79,100.0
21,2025-11-18 06:00:00,194.0,29.0,Normal,25.45,23.1,86.86,0.0,0.0,286.93,8.65,16.56,1006.29,100.0
22,2025-11-18 06:30:00,194.0,29.0,Normal,25.22,22.98,87.37,0.0,0.0,286.93,8.65,16.56,1006.58,100.0
23,2025-11-18 07:00:00,194.0,29.0,Normal,25.0,22.85,87.88,0.1,0.0,221.82,4.59,22.32,1006.88,100.0
24,2025-11-18 07:30:00,194.0,29.0,Normal,25.38,23.1,87.25,0.1,0.0,221.82,4.59,22.32,1007.08,100.0
25,2025-11-18 08:00:00,194.0,29.0,Normal,25.75,23.35,86.63,0.1,0.0,183.58,2.89,11.52,1007.29,100.0
26,2025-11-18 08:30:00,194.0,29.5,Normal,26.78,23.35,81.7,0.1,0.0,183.58,2.89,11.52,1007.15,100.0
27,2025-11-18 09:00:00,194.0,30.0,Normal,27.8,23.35,76.78,0.0,0.0,189.46,4.38,15.48,1007.01,98.0
28,2025-11-18 09:30:00,194.0,30.66,Normal,28.75,23.62,73.93,0.0,0.0,189.46,4.38,15.48,1006.77,98.0
29,2025-11-18 10:00:00,194.0,31.0,Normal,29.7,23.9,71.09,0.0,0.0,299.74,2.9,21.24,1006.53,100.0
