,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2025-11-15 23:30:00,199.0,102.0,Normal,23.88,23.1,95.44,2.8,0.0,253.78,10.31,31.68,1009.21,100.0
1,2025-11-16 00:00:00,199.0,102.0,Normal,23.75,23.2,96.74,0.7,0.0,241.86,8.78,18.36,1008.96,100.0
2,2025-11-16 00:30:00,199.0,135.59,Normal,24.02,23.12,94.74,0.7,0.0,241.86,8.78,18.36,1008.46,100.0
3,2025-11-16 01:00:00,199.0,51.0,Normal,24.3,23.05,92.75,1.2,0.0,266.24,13.71,26.28,1007.97,100.0
4,2025-11-16 01:30:00,199.0,50.34,Normal,24.38,23.08,92.47,1.2,0.0,266.24,13.71,26.28,1007.47,100.0
5,2025-11-16 02:00:00,199.0,49.0,Normal,24.45,23.1,92.2,0.1,0.0,259.56,13.91,30.24,1006.97,100.0
6,2025-11-16 02:30:00,199.0,48.0,Normal,24.4,22.9,91.36,0.1,0.0,259.56,13.91,30.24,1006.82,100.0
7,2025-11-16 03:00:00,199.0,47.0,Normal,24.35,22.7,90.53,0.0,0.0,262.69,14.15,28.44,1006.67,100.0
8,2025-11-16 03:30:00,199.0,46.34,Normal,24.38,22.7,90.4,0.0,0.0,262.69,14.15,28.44,1006.57,100.0
9,2025-11-16 04:00:00,199.0,46.0,Normal,24.4,22.7,90.26,0.0,0.0,261.55,13.47,28.8,1006.47,100.0
10,2025-11-16 04:30:00,199.0,46.0,Normal,24.42,22.85,90.95,0.0,0.0,261.55,13.47,28.8,1006.57,100.0
11,2025-11-16 05:00:00,199.0,45.33,Normal,24.45,23.0,91.64,0.0,0.0,266.78,12.8,27.72,1006.67,100.0
12,2025-11-16 05:30:00,199.0,45.67,Normal,24.55,23.1,91.65,0.0,0.0,266.78,12.8,27.72,1006.97,100.0
13,2025-11-16 06:00:00,199.0,45.33,Normal,24.65,23.2,91.65,0.0,0.0,266.37,11.36,26.28,1007.27,98.0
14,2025-11-16 06:30:00,199.0,45.66,Normal,25.68,23.2,86.41,0.0,0.0,266.37,11.36,26.28,1007.48,98.0
15,2025-11-16 07:00:00,199.0,46.0,Normal,26.7,23.2,81.16,0.0,0.0,250.68,14.69,30.24,1007.69,97.0
16,2025-11-16 07:30:00,199.0,45.67,Normal,27.48,23.62,79.59,0.0,0.0,250.68,14.69,30.24,1008.19,97.0
17,2025-11-16 08:00:00,199.0,46.0,Normal,28.25,24.05,78.01,0.0,0.0,255.07,8.38,29.88,1008.7,100.0
18,2025-11-16 08:30:00,199.0,46.0,Normal,28.92,24.12,75.41,0.0,0.0,255.07,8.38,29.88,1008.6,100.0
19,2025-11-16 09:00:00,199.0,46.0,Normal,29.6,24.2,72.8,0.0,0.0,257.09,8.86,32.04,1008.51,100.0
20,2025-11-16 09:30:00,199.0,46.33,Normal,30.03,24.18,70.96,0.0,0.0,257.09,8.86,32.04,1008.36,100.0
21,2025-11-16 10:00:00,199.0,46.33,Normal,30.45,24.15,69.12,0.0,0.0,263.23,10.69,34.92,1008.22,100.0
22,2025-11-16 10:30:00,199.0,46.66,Normal,30.9,23.9,66.42,0.0,0.0,263.23,10.69,34.92,1007.92,100.0
23,2025-11-16 11:00:00,199.0,47.0,Normal,31.35,23.65,63.72,0.0,0.0,268.32,12.25,37.44,1007.62,100.0
24,2025-11-16 11:30:00,199.0,47.66,Normal,31.18,23.47,63.68,0.0,0.0,268.32,12.25,37.44,1007.07,100.0
25,2025-11-16 12:00:00,199.0,48.0,Normal,31.0,23.3,63.64,0.0,0.0,263.81,15.03,39.6,1006.52,100.0
26,2025-11-16 12:30:00,199.0,47.0,Normal,30.95,23.3,63.82,0.0,0.0,263.81,15.03,39.6,1006.57,100.0
27,2025-11-16 13:00:00,199.0,47.0,Normal,30.9,23.3,64.01,0.1,0.0,260.81,12.4,39.96,1006.62,99.0
28,2025-11-16 13:30:00,199.0,46.0,Normal,30.5,23.32,65.61,0.1,0.0,260.81,12.4,39.96,1006.02,99.0
29,2025-11-16 14:00:00,199.0,46.0,Normal,30.1,23.35,67.21,0.4,0.0,260.25,11.69,30.96,1005.42,99.0
30,2025-11-16 14:30:00,199.0,45.67,Normal,30.3,23.28,66.15,0.4,0.0,260.25,11.69,30.96,1005.27,99.0
31,2025-11-16 15:00:00,199.0,45.0,Normal,30.5,23.2,65.09,0.0,0.0,263.07,13.42,33.48,1005.12,92.0
32,2025-11-16 15:30:00,199.0,45.0,Normal,30.25,23.22,66.14,0.0,0.0,263.07,13.42,33.48,1005.22,92.0
33,2025-11-16 16:00:00,199.0,45.0,Normal,30.0,23.25,67.19,0.2,0.0,262.98,11.79,34.2,1005.32,61.0
34,2025-11-16 16:30:00,199.0,44.67,Normal,29.35,23.45,70.69,0.2,0.0,262.98,11.79,34.2,1005.66,61.0
35,2025-11-16 17:00:00,199.0,45.33,Normal,28.7,23.65,74.19,0.0,0.0,256.65,10.91,28.08,1006.01,93.0
36,2025-11-16 17:30:00,199.0,46.68,Normal,27.98,23.5,76.74,0.0,0.0,256.65,10.91,28.08,1006.4,93.0
37,2025-11-16 18:00:00,199.0,46.0,Normal,27.25,23.35,79.29,0.0,0.0,255.62,7.25,24.12,1006.79,99.0
