,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2025-11-20 09:00:00,193.0,102.0,Normal,28.25,24.1,78.25,0.0,0.0,288.73,11.21,35.64,1007.43,100.0
1,2025-11-20 09:30:00,193.0,259.39,Normal,28.62,24.25,77.26,0.0,0.0,288.73,11.21,35.64,1007.38,100.0
2,2025-11-20 10:00:00,193.0,82.67,Normal,29.0,24.4,76.27,0.1,0.0,279.32,12.22,34.92,1007.33,100.0
3,2025-11-20 10:30:00,193.0,78.34,Normal,28.15,23.78,77.19,0.1,0.0,279.32,12.22,34.92,1007.38,100.0
4,2025-11-20 11:00:00,193.0,75.68,Normal,27.3,23.15,78.11,4.8,0.0,292.22,13.8,36.0,1007.42,99.0
5,2025-11-20 11:30:00,193.0,73.01,Normal,27.55,23.85,80.32,4.8,0.0,292.22,13.8,36.0,1006.97,99.0
6,2025-11-20 12:00:00,193.0,70.01,Normal,27.8,24.55,82.52,3.6,0.0,285.78,8.6,34.92,1006.53,100.0
7,2025-11-20 12:30:00,193.0,67.34,Normal,26.85,24.22,85.64,3.6,0.0,285.78,8.6,34.92,1006.42,100.0
8,2025-11-20 13:00:00,193.0,65.34,Normal,25.9,23.9,88.75,6.9,0.0,257.62,7.56,32.04,1006.31,100.0
9,2025-11-20 13:30:00,193.0,63.34,Normal,26.32,24.2,88.13,6.9,0.0,257.62,7.56,32.04,1005.97,100.0
10,2025-11-20 14:00:00,193.0,62.34,Normal,26.75,24.5,87.5,1.1,0.0,273.37,6.13,22.32,1005.62,100.0
11,2025-11-20 14:30:00,193.0,64.65,Normal,26.15,24.1,88.51,1.1,0.0,273.37,6.13,22.32,1005.57,100.0
12,2025-11-20 15:00:00,193.0,65.34,Normal,25.55,23.7,89.53,1.9,0.0,283.57,10.74,33.12,1005.51,100.0
13,2025-11-20 15:30:00,193.0,63.34,Normal,25.65,23.72,89.13,1.9,0.0,283.57,10.74,33.12,1005.41,100.0
14,2025-11-20 16:00:00,193.0,61.67,Normal,25.75,23.75,88.74,1.8,0.0,285.26,6.16,25.56,1005.32,100.0
15,2025-11-20 16:30:00,193.0,60.67,Normal,25.62,23.62,88.73,1.8,0.0,285.26,6.16,25.56,1005.51,100.0
16,2025-11-20 17:00:00,193.0,60.0,Normal,25.5,23.5,88.72,0.4,0.0,266.99,13.7,29.52,1005.71,100.0
