,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2023-12-05 16:30:00,184.0,43.0,Normal,28.5,24.57,79.38,0.1,0.0,309.81,2.81,22.68,1007.34,72.0
1,2023-12-05 17:00:00,184.0,42.83,Normal,27.92,24.47,81.56,0.1,0.0,113.2,5.48,13.32,1007.49,62.0
2,2023-12-05 17:30:00,184.0,44.32,Normal,27.57,24.42,83.01,0.1,0.0,113.2,5.48,13.32,1007.79,62.0
3,2023-12-05 18:00:00,184.0,46.81,Normal,27.22,24.37,84.46,0.0,0.0,86.19,5.41,13.32,1008.09,10.0
4,2023-12-05 18:30:00,184.0,48.83,Normal,27.05,24.57,86.38,0.0,0.0,86.19,5.41,13.32,1008.69,10.0
5,2023-12-05 19:00:00,184.0,53.14,Normal,26.87,24.77,88.3,0.0,0.0,180.0,1.44,10.44,1009.29,27.0
6,2023-12-05 19:30:00,184.0,56.96,Normal,27.25,24.42,84.67,0.0,0.0,180.0,1.44,10.44,1009.74,27.0
7,2023-12-05 20:00:00,184.0,61.48,Normal,27.62,24.07,81.03,0.1,0.0,129.56,10.74,18.36,1010.19,100.0
8,2023-12-05 20:30:00,184.0,66.07,Normal,27.07,23.7,81.83,0.1,0.0,129.56,10.74,18.36,1010.43,100.0
9,2023-12-05 21:00:00,184.0,72.28,Normal,26.52,23.32,82.62,0.1,0.0,126.38,8.5,20.88,1010.68,86.0
10,2023-12-05 21:30:00,184.0,77.21,Normal,26.2,23.35,84.37,0.1,0.0,126.38,8.5,20.88,1010.68,86.0
11,2023-12-05 22:00:00,184.0,80.64,Normal,25.87,23.37,86.12,0.0,0.0,129.29,5.12,15.48,1010.68,100.0
12,2023-12-05 22:30:00,184.0,83.96,Normal,25.67,23.45,87.55,0.0,0.0,129.29,5.12,15.48,1010.48,100.0
13,2023-12-05 23:00:00,184.0,85.6,Normal,25.47,23.52,88.99,0.0,0.0,195.95,2.62,9.0,1010.28,100.0
14,2023-12-05 23:30:00,184.0,88.57,Normal,25.4,23.55,89.52,0.0,0.0,195.95,2.62,9.0,1010.13,100.0
15,2023-12-06 00:00:00,184.0,90.17,Normal,25.32,23.57,90.05,0.0,0.0,200.56,3.08,6.12,1009.98,100.0
16,2023-12-06 00:30:00,184.0,90.83,Normal,25.32,23.6,90.19,0.0,0.0,200.56,3.08,6.12,1009.78,100.0
17,2023-12-06 01:00:00,184.0,92.67,Normal,25.32,23.62,90.32,0.0,0.0,215.54,3.1,6.48,1009.58,100.0
18,2023-12-06 01:30:00,184.0,92.5,Normal,25.3,23.67,90.73,0.0,0.0,215.54,3.1,6.48,1009.38,100.0
19,2023-12-06 02:00:00,184.0,91.17,Normal,25.27,23.72,91.14,0.0,0.0,208.61,4.51,8.28,1009.18,100.0
